Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Columbia County Sheriff Department,FL,12,,261.0,0,14.0,20,227,1178.0,559,583.0,36.0,,,,,,,,,,columbia county,"columbia county,FL",05000US12023
Escambia County Sheriff Department,FL,12,,1960.0,15,132.0,412,1401,11285.0,3156,7579.0,550.0,,,,,,,,,,escambia county,"escambia county,FL",05000US12033
Flagler County Sheriff Department,FL,12,,204.0,0,5.0,34,165,1680.0,362,1255.0,63.0,,,,,,,,,,flagler county,"flagler county,FL",05000US12035
Hallandale Police Dept,FL,12,38316.0,287.0,4,11.0,98,174,1863.0,456,1264.0,143.0,749.0,10.4,28.7,255.8,454.1,4862.2,1190.1,3298.9,373.2,hallandale,"hallandale,FL",16000US1228452
Hendry County Sheriff Department,FL,12,,201.0,0,15.0,24,162,988.0,489,452.0,47.0,,,,,,,,,,hendry county,"hendry county,FL",05000US12051
Hernando County Sheriff Department,FL,12,,437.0,2,40.0,49,346,4168.0,1184,2830.0,154.0,,,,,,,,,,hernando county,"hernando county,FL",05000US12053
Hialeah Police Dept,FL,12,233107.0,810.0,4,40.0,260,506,7194.0,1048,5409.0,737.0,347.5,1.7,17.2,111.5,217.1,3086.1,449.6,2320.4,316.2,hialeah,"hialeah,FL",16000US1230025
Highlands County Sheriff Department,FL,12,,203.0,3,19.0,40,141,1908.0,689,1123.0,96.0,,,,,,,,,,highlands county,"highlands county,FL",05000US12055
Hillsborough County Sheriff Department,FL,12,,2152.0,28,116.0,495,1513,17903.0,4143,12707.0,1053.0,,,,,,,,,,hillsborough county,"hillsborough county,FL",05000US12057
Indian River County Sheriff Department,FL,12,,319.0,1,15.0,38,265,2461.0,552,1838.0,71.0,,,,,,,,,,indian river county,"indian river county,FL",05000US12061
Jackson County Sheriff Department,FL,12,,137.0,0,13.0,12,112,590.0,162,406.0,22.0,,,,,,,,,,jackson county,"jackson county,FL",05000US12063
Jacksonville,FL,12,840660.0,5189.0,93,341.0,1371,3384,34674.0,7632,25403.0,1639.0,617.3,11.1,40.6,163.1,402.5,4124.6,907.9,3021.8,195.0,jacksonville,"jacksonville,FL",16000US1235050
Lake County Sheriff Department,FL,12,,452.0,3,29.0,38,382,3096.0,991,1908.0,197.0,,,,,,,,,,lake county,"lake county,FL",05000US12069
Lee County Sheriff Department,FL,12,,1241.0,17,66.0,340,818,8854.0,2771,5482.0,601.0,,,,,,,,,,lee county,"lee county,FL",05000US12071
Leon County Sheriff Department,FL,12,,240.0,5,13.0,31,191,1577.0,641,837.0,99.0,,,,,,,,,,leon county,"leon county,FL",05000US12073
Levy County Sheriff Department,FL,12,,87.0,0,18.0,3,66,540.0,183,324.0,33.0,,,,,,,,,,levy county,"levy county,FL",05000US12075
