Table ID,Sequence Number
C27001I,0165
B27002,0166
B27003,0166
B27004,0166
C27002,0166
C27003,0166
C27004,0166
B27005,0167
B27006,0167
B27007,0167
C27005,0167
C27006,0167
C27007,0167
B27008,0168
B27009,0168
B27010,0168
C27008,0168
C27009,0168
C27010,0168
B27011,0169
B27012,0169
B27013,0169
C27012,0169
C27013,0169
B27014,0170
B27015,0170
C27014,0170
B27016,0171
C27016,0171
B27017,0172
B27018,0172
C27017,0172
B27019,0173
B27020,0173
B27021,0173
B27022,0173
B27023,0173
C27018,0173
B98001,0174
B98002,0174
B98011,0174
B98012,0174
B98013,0174
B98014,0174
B98021,0174
B98022,0174
B98031,0174
B98032,0174
B99011,0175
B99012,0175
B99021,0175
B99031,0175
B99051,0175
B99052,0175
B99052PR,0175
B99053,0175
B99061,0175
B99071,0175
B99072,0175
B99080,0175
B99081,0175
B99082,0175
B99083,0175
B99084,0175
B99085,0175
B99086,0176
B99087,0176
B99088,0176
B99089,0176
B99092,0177
B99102,0177
B99103,0177
B99104,0177
B99121,0177
B99122,0177
B99123,0177
B99124,0177
B99125,0177
B99126,0177
B99131,0177
B99132,0177
B99141,0177
B99142,0177
B99151,0177
B99152,0177
B99161,0177
B99162,0177
B99163,0177
B99171,0177
B99172,0177
B99181,0177
B99182,0177
B99183,0177
B99184,0177
B99185,0177
B99186,0177
B99187,0177
B99191,0177
B99192,0177
B99193,0177
B99194,0177
B99201,0177
B99211,0177
B99212,0177
B99221,0177
B99231,0177
B99232,0177
B99233,0177
B99234,0177
B99241,0177
B99242,0177
B99243,0177
B99244,0177
B99245,0177
B99246,0177
B992510,0177
B992511,0177
B992512,0177
B992513,0177
B992514,0177
B992515,0177
B992516,0177
B992518,0177
B992519,0177
B99252,0177
B992520,0177
B992521,0177
B992522,0178
B992523,0178
B99253,0178
B99254,0178
B99255,0178
B99256,0178
B99257,0178
B99258,0178
B99259,0178
B992701,0178
B992702,0178
B992703,0178
B992704,0178
B992705,0178
B992706,0178
B992707,0178
B992708,0178
B992709,0178
